Disease,Remedy_1,Remedy_2,Remedy_3
Drug Reaction,Stop taking the suspected drug immediately,Drink plenty of water to flush out toxins,Apply cool compresses to itchy areas
Malaria,Drink Ginger water or tea to boost immunity,Consume Tulsi (Holy Basil) leaves with black pepper,Eat nutritious and easily digestible food
Allergy,Drink warm water with a pinch of turmeric,Use Steam inhalation for respiratory allergies,Apply Aloe Vera gel to skin rashes
Hypothyroidism,Include more iodine-rich foods like seaweed,Consume ginger tea to boost metabolism,Regular light exercise like walking or yoga
Psoriasis,Apply coconut oil or olive oil to keep skin moisturized,Take warm baths with Epsom salt or oatmeal,Consume turmeric-based drinks for anti-inflammatory effects
GERD,Chew Fennel seeds (Saunf) after meals,Drink cold milk or coconut water to soothe the stomach,Eat small and frequent meals
Chronic cholestasis,Take cool baths to reduce itching,Eat a low-fat and healthy diet,Stay hydrated with plenty of water
Hepatitis A,Take complete rest to help the liver recover,Eat small and light meals that are easy to digest,Avoid alcohol and fatty foods completely
Osteoarthristis,Apply warm compresses to stiff joints,Do gentle stretching exercises,Include anti-inflammatory foods like ginger and turmeric
(vertigo) Paroymsal  Positional Vertigo,Perform Epley maneuver (with guidance),Avoid sudden head movements,Rest in a quiet and comfortable position
Hypoglycemia,Consume a small amount of honey or sugar immediately,Eat complex carbohydrates like whole grains,Maintain regular meal timings
Acne,Apply a paste of Neem leaves or turmeric,Wash your face with a mild herbal cleanser,Drink plenty of water to detoxify your skin
Diabetes,Consume soaked Fenugreek (Methi) seeds in the morning,Drink Bitter Gourd (Karela) juice,Include more high-fiber vegetables in your diet
Impetigo,Soak the affected area in warm salt water,Apply crushed Garlic or Neem oil to sores,Maintain strict personal hygiene
Hypertension,Practice deep breathing and meditation (Pranayama),Reduce salt intake in your daily diet,Drink Hibiscus tea or consume Garlic cloves
Peptic ulcer diseae,Consume Cabbage juice to help heal the lining,Drink cold milk to neutralize stomach acid,Avoid spicy and fried foods
Dimorphic hemorrhoids(piles),Take a warm Sitz bath for 15-20 minutes,Eat high-fiber foods like fruits and vegetables,Drink plenty of water to prevent constipation
Common Cold,Drink hot Turmeric milk (Golden Milk),Take steam inhalation with eucalyptus oil,Gargle with warm salt water
Chicken pox,Add Neem leaves to your bathing water,Apply Calamine lotion or Aloe Vera to itchy spots,Eat light and cooling foods like curd rice
Cervical spondylosis,Use a thin pillow or orthopedic pillow,Perform gentle neck stretching exercises,Apply warm compresses to the neck area
Hyperthyroidism,Include cruciferous vegetables like broccoli and cabbage,Practice relaxation techniques to manage stress,Avoid excessive caffeine intake
Urinary tract infection,Drink plenty of water and Coconut water,Consume Cranberry juice (unsweetened),Drink Barley water to flush out bacteria
Varicose veins,Elevate your legs while sitting or sleeping,Do regular walking to improve circulation,Avoid standing or sitting for long periods
AIDS,Eat a highly nutritious and balanced diet,Practice good hygiene to prevent secondary infections,Stay physically active within your limits
Paralysis (brain hemorrhage),Undergo regular physiotherapy sessions,Eat a balanced diet rich in vitamins and minerals,Maintain a positive and stress-free environment
Typhoid,Drink plenty of boiled and cooled water,Eat easily digestible foods like porridge (khichdi),Consume fresh fruit juices
Hepatitis B,Ensure adequate rest and hydration,Eat a healthy and liver-friendly diet,Avoid alcohol and heavy medications
Fungal infection,Apply Neem oil or a paste of Turmeric and Honey,Keep the affected area clean and dry,Wear loose and breathable cotton clothes
Hepatitis C,Eat a well-balanced and nutritious diet,Avoid alcohol and substances that strain the liver,Stay hydrated and get plenty of rest
Migraine,Apply a paste of Sandalwood to the forehead,Rest in a dark and quiet room during an attack,Drink Ginger tea to reduce nausea
Bronchial Asthma,Consume a mixture of Honey and Ginger juice,Practice deep breathing exercises (Pranayama),Keep your surroundings free from dust and triggers
Alcoholic hepatitis,Stop alcohol consumption immediately and forever,Eat a protein-rich and healthy diet,Take plenty of rest for liver regeneration
Jaundice,Drink fresh Sugarcane juice,Consume Radish leaf juice to reduce bilirubin,Eat light and fat-free meals
Hepatitis E,Drink plenty of fluids to stay hydrated,Take complete bed rest for recovery,Eat simple and boiled foods
Dengue,Consume Papaya leaf juice to boost platelet count,Drink plenty of Coconut water and juices,Take complete rest and stay hydrated
Hepatitis D,Maintain a healthy diet and stay hydrated,Avoid alcohol and fatty foods,Get regular follow-ups with your doctor
Heart attack,Chew an Aspirin immediately (if not allergic),Keep the person calm and in a sitting position,Seek emergency medical help instantly
Pneumonia,Drink warm herbal tea with Honey and Ginger,Take regular steam inhalation,Chest percussion or light massage to loosen mucus
Arthritis,Massaging joints with warm Sesame oil,Apply hot and cold compresses alternately,Include Omega-3 rich foods like flaxseeds
Gastroenteritis,Sip on ORS (Oral Rehydration Solution) or Coconut water,Eat bland foods like bananas and rice (BRAT diet),Take complete rest to allow the gut to heal
Tuberculosis,Eat a protein and calorie-rich diet,Ensure proper ventilation in your living area,Practice good cough hygiene
